MB70,NatusPKMN's Metagross Annihilape Team,,Nate Innocenti,,,,Metagrossite,,,Spell Tag,,,Focus Sash,,,Wide Lens,,,Sitrus Berry,,,Light Clay,,https://pokepast.es/67095d619277f7ae,Yes,Extracted,X,None,19 Jun 2026,-,,https://x.com/natuspkmn/status/2067855790786953719?s=46,-,-,natuspkmn,,Metagross-Mega,Annihilape,Zoroark-Hisui,Maushold-Four,Farigiraf,Grimmsnarl,,MB70
MB69,rejovgc's Barbaracle Froslass Team,,rejovgc,,,,Barbaracite,,,Froslassite,,,Mystic Water,,,Focus Sash,,,Chople Berry,,,Life Orb,,https://pokepast.es/2c45ecd45b32362c,Yes,Owner's,✔,8NC4A2HX10,19 Jun 2026,-,,https://x.com/rejovgc/status/2067656241170497864?s=46,-,-,rejovgc,,Barbaracle-Mega,Froslass-Mega,Basculegion,Whimsicott,Kingambit,Garchomp,,MB69
MB68,yunirando_vgc's Swampert Glimmora Team,,yunirando_vgc,,,,Glimmoranite,,,Swampertite,,,Focus Sash,,,Choice Scarf,,,Life Orb,,,Leftovers,,https://pokepast.es/7badf974df8b5e3a,Yes,Extracted,✔,D7T1UFCULQ,19 Jun 2026,-,,https://x.com/yunirando_vgc/status/2067810755794424007?s=46,-,-,yunirando_vgc,,Glimmora-Mega,Swampert-Mega,Basculegion,Pelipper,Overqwil,Archaludon,,MB68
MB67,LawrenceVGC's Grimmsnarl Annihilape Team,,LawrenceVGC,,,,Gardevoirite,,,Chople Berry,,,Focus Sash,,,Leftovers,,,Kasib Berry,,,Light Clay,,https://pokepast.es/3de0e5581c82d214,Yes,Extracted,✔,HHNL2ST7UC,19 Jun 2026,-,,https://x.com/LawrenceVGC/status/2067880485955490237,-,-,LawrenceVGC,,Gardevoir-Mega,Incineroar,Pelipper,Annihilape,Sinistcha,Grimmsnarl,,MB67
MB66,alcana's Sceptile Rotom-Wash Team,,Kiwamu Endo,,,,Sceptilite,,,Life Orb,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Soft Sand,,https://pokepast.es/f9ed4fd2eafd0dca,Yes,Extracted,✔,X4EKY3AE00,19 Jun 2026,-,,https://x.com/alcana_10906/status/2067808851647500499,-,-,alcana_10906,,Sceptile-Mega,Talonflame,Rotom-Wash,Sneasler,Gholdengo,Garchomp,,MB66
MB65,Osirus' Staraptor Grimmsnarl Team,,Lee Provost,,,,Staraptite,,,Sitrus Berry,,,Kasib Berry,,,Leftovers,,,Light Clay,,,Life Orb,,https://pokepast.es/79effda80d55d3f4,Yes,Extracted,✔,D45J6QAUQY,19 Jun 2026,Video,,https://x.com/osirusvgc/status/2067772177600876576?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://www.youtube.com/watch?v=xRHI5JTG_us,-,osirusvgc,,Staraptor-Mega,Incineroar,Sinistcha,Gholdengo,Grimmsnarl,Garchomp,,MB65
MB64,regibang's Pyroar Zoroark-Hisui Team,,regibang,,,,Pyroarite,,,White Herb,,,Life Orb,,,Focus Sash,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/9af67b91723b116d,Yes,Extracted,✔,6B4KT2BCNS,19 Jun 2026,-,,https://x.com/regibang/status/2067697290094022731?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,regibang,,Pyroar-Mega,Sneasler,Zoroark-Hisui,Whimsicott,Sinistcha,Dragonite,,MB64
MB63,Cybertron's Staraptor Whimsicott Team,,Aaron Zheng,,,,Staraptite,,,Choice Scarf,,,Mystic Water,,,Focus Sash,,,Life Orb,,,Roseli Berry,,https://pokepast.es/0e2147e72cacc417,Yes,Owner's,✔,XEX629QEEY,18 Jun 2026,Video,,https://x.com/cybertronvgc/status/2067697848376762481?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://www.youtube.com/watch?v=ES4APGm7KPw,-,cybertronvgc,,Staraptor-Mega,Typhlosion-Hisui,Basculegion,Whimsicott,Gholdengo,Garchomp,,MB63
MB62,TalonMasterJ's Dragalge Froslass Team,,Joe Carlino,,,,Dragalgite,,,Froslassite,,,Sitrus Berry,,,White Herb,,,Black Glasses,,,Roseli Berry,,https://pokepast.es/5555d351eb6f4216,Yes,Extracted,✔,DAGBY643A0,19 Jun 2026,-,,https://x.com/joecarlino14/status/2067695652264395074?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,joecarlino14,,Dragalge-Mega,Froslass-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,MB62
MB61,pablitonya's Staraptor Eelektross Team,,pablitonya,,,,Eelektrossite,,,Staraptite,,,Choice Scarf,,,Focus Sash,,,Black Glasses,,,Life Orb,,https://pokepast.es/e7031fc9ee125bb0,Yes,Extracted,✔,3SJRR8JLJV,18 Jun 2026,-,,https://x.com/pablitonya/status/2067633767045292334?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,pablitonya,,Eelektross-Mega,Staraptor-Mega,Basculegion,Whimsicott,Kingambit,Garchomp,,MB61
MB60,soungrull's Charizard-Y Sylveon Team,,soungrull,,,,Charizardite Y,,,Focus Sash,,,Sitrus Berry,,,Life Orb,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/5ff9a2b097e13aac,Yes,Extracted,✔,TH6GVKEYBR,18 Jun 2026,-,,https://x.com/soungrull/status/2067616664204742755?s=46,-,-,soungrull,,Charizard,Aerodactyl,Farigiraf,Kingambit,Sylveon,Garchomp,,MB60
MB59,toshiniki's Charizard-Y Floette Team,,toshiniki,,,,Floettite,,,Charizardite Y,,,Life Orb,,,Focus Sash,,,Occa Berry,,,Roseli Berry,,https://pokepast.es/809d18abcc0a41ef,Yes,Extracted,✔,KGQX4915U1,18 Jun 2026,-,,https://x.com/toshi_kyogre/status/2067382205429764170?s=46,-,-,toshi_kyogre,,Floette-Eternal-Mega,Charizard,Basculegion,Whimsicott,Kingambit,Garchomp,,MB59
MB58,146_poke's Malamar Gholdengo Team,,146_poke,,,,Malamarite,,,Sitrus Berry,,,Focus Sash,,,Kasib Berry,,,Colbur Berry,,,Light Clay,,https://pokepast.es/5f26a57051bcb1f0,Yes,Extracted,✔,JQK7JQNFPK,18 Jun 2026,-,,https://x.com/146_poke/status/2067324589412348003?s=46,-,-,146_poke,,Malamar-Mega,Incineroar,Sneasler,Sinistcha,Gholdengo,Grimmsnarl,,MB58
MB57,kashiwagineru's Metagross Aerodactyl Team,,kashiwagineru,,,,Aerodactylite,,,Metagrossite,,,Life Orb,,,Focus Sash,,,Chople Berry,,,Fairy Feather,,https://pokepast.es/53118576ed92f284,Yes,Extracted,✔,7TKB7U5DKA,18 Jun 2026,-,,https://x.com/kashiwagineru/status/2067511103236833647?s=46,-,-,kashiwagineru,,Aerodactyl-Mega,Metagross-Mega,Basculegion,Meowscarada,Kingambit,Sylveon,,MB57
MB56,c_bass365's Metagross Eelektross Team,,c_bass365,,,,Eelektrossite,,,Metagrossite,,,Focus Sash,,,White Herb,,,Light Clay,,,Life Orb,,https://pokepast.es/f6a56a68c07948f9,Yes,Extracted,✔,70X59SUBJ0,18 Jun 2026,-,,https://x.com/c_bass365/status/2067526676314210795?s=46,-,-,c_bass365,,Eelektross-Mega,Metagross-Mega,Basculegion,Sneasler,Grimmsnarl,Garchomp,,MB56
MB55,Sh4dowzon's Staraptor Charizard-Y Team,,Nicolás del Campo,,,,Staraptite,,,Charizardite Y,,,White Herb,,,Focus Sash,,,Life Orb,,,Sitrus Berry,,https://pokepast.es/a8283ae7c2e72695,Yes,Extracted,✔,YPYGJQBBEJ,18 Jun 2026,-,,https://x.com/sh4dowzon_vgc/status/2067448035190218906?s=46,-,-,sh4dowzon_vgc,,Staraptor-Mega,Charizard,Sneasler,Whimsicott,Gholdengo,Garchomp,,MB55
MB54,misono's Raichu-Y Charizard-Y Team,,misono,,,,Charizardite Y,,,Life Orb,,,Raichunite Y,,,Focus Sash,,,Chople Berry,,,Choice Scarf,,https://pokepast.es/387f6072da7d4c79,Yes,Extracted,✔,LJ60S3SGG0,18 Jun 2026,-,,https://x.com/misonopoke/status/2067389580635218113?s=46,-,-,misonopoke,,Charizard,Basculegion,Raichu,Whimsicott,Kingambit,Ninetales-Alola,,MB54
MB53,toru's Mawile Swampert Team,,toru,,,,Mawilite,,,Swampertite,,,Choice Scarf,,,Mystic Water,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/5dd5a0b10ba9f20a,Yes,Extracted,✔,1VFA9QB9W5,18 Jun 2026,-,,https://x.com/toru_poke/status/2067283035293376857?s=46,-,-,toru_poke,,Mawile-Mega,Swampert-Mega,Pelipper,Politoed,Farigiraf,Archaludon,,MB53
MB52,Yoko's Triple Mega Snow Rain Team,,Yoko Taguma,,,,Metagrossite,,,Swampertite,,,Damp Rock,,,Raichunite Y,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/4c0ff57247351451,Yes,Extracted,✔,1QDFD63GAT,18 Jun 2026,-,,https://x.com/yoko_clover/status/2067452865724231684?s=46,-,-,yoko_clover,,Metagross-Mega,Swampert-Mega,Pelipper,Raichu,Vanilluxe,Farigiraf,,MB52
MB51,krlos_cb's Metagross Aerodactyl Team,,krlos_cb,,,,Aerodactylite,,,Metagrossite,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,,Life Orb,,https://pokepast.es/adcab0702c03e988,Yes,Extracted,✔,QFRFE50XY6,18 Jun 2026,-,,https://x.com/krlos_cb/status/2067551270802481234?s=46,-,-,krlos_cb,,Aerodactyl-Mega,Metagross-Mega,Blaziken,Rotom-Wash,Sinistcha,Garchomp,,MB51
MB50,sleepysilvervgc's Sitrus Series #63 Top 4 Team,,sleepysilvervgc,,,,Delphoxite,,,Staraptite,,,Choice Scarf,,,Focus Sash,,,Black Glasses,,,Never-Melt Ice,,https://pokepast.es/8bc09492246db226,Yes,Extracted,✔,YRYU1TUSLG,18 Jun 2026,Sitrus Series #63,4th,https://x.com/sleepysilvervgc/status/2067463559307550806?s=46,-,-,sleepysilvervgc,,Delphox-Mega,Staraptor-Mega,Basculegion,Maushold-Four,Kingambit,Ninetales-Alola,,MB50
MB49,thenamesabe's Staraptor Malamar Team,,thenamesabe,,,,Malamarite,,,Staraptite,,,Focus Sash,,,Leftovers,,,Wise Glasses,,,Life Orb,,https://pokepast.es/5955add9b6744232,Yes,Extracted,✔,CL0BTPMAWC,18 Jun 2026,-,,https://x.com/TheNamesAbe/status/2067464082714771806,-,-,TheNamesAbe,,Malamar-Mega,Staraptor-Mega,Whimsicott,Sinistcha,Gholdengo,Garchomp,,MB49
MB48,DDee's Charizard-Y Gholdengo Team,,Michael Uko,,,,Charizardite Y,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,Metal Coat,,,Life Orb,,https://pokepast.es/ed3fe39de27c125d,Yes,Extracted,✔,YAHK9LUP6U,18 Jun 2026,-,,https://x.com/ddee_ssbu/status/2067633625600790548?s=46,-,-,ddee_ssbu,,Charizard,Incineroar,Basculegion,Whimsicott,Gholdengo,Garchomp,,MB48
MB47,Tsubaki's Swampert Metagross Team,,Eisuke Nakayama,,,,Metagrossite,,,Swampertite,,,Focus Sash,,,Sitrus Berry,,,Light Clay,,,Leftovers,,https://pokepast.es/3566564355a9c340,Yes,Extracted,✔,8HYGG4ES8X,18 Jun 2026,-,,https://x.com/tsubakiandmeu02/status/2067569830916702561?s=46,-,-,tsubakiandmeu02,,Metagross-Mega,Swampert-Mega,Pelipper,Sinistcha,Grimmsnarl,Archaludon,,MB47
MB46,Gardevoir_3710's Eelektross Floette Team,,Gardevoir_3710,,,,Eelektrossite,,,Floettite,,,Sharp Beak,,,Focus Sash,,,Sitrus Berry,,,Life Orb,,https://pokepast.es/b43fcdd616938859,Yes,Extracted,✔,54CGV4LTJV,18 Jun 2026,-,,https://x.com/gardevoir_3710/status/2067602139384631480?s=46,-,-,gardevoir_3710,,Eelektross-Mega,Floette-Eternal-Mega,Talonflame,Basculegion,Farigiraf,Garchomp,,MB46
MB45,soramitu's Swampert Venusaur Team,,Yasuharu Shimizu,,,,Swampertite,,,Venusaurite,,,Mystic Water,,,Focus Sash,,,Light Clay,,,Leftovers,,https://pokepast.es/55202d22066302b9,Yes,Extracted,✔,FP5XGYJC2M,18 Jun 2026,-,,https://x.com/soramitu0322/status/2067577500818125200?s=46,-,-,soramitu0322,,Swampert-Mega,Venusaur-Mega,Basculegion-F,Pelipper,Sableye,Archaludon,,MB45
MB44,bomuburi's Staraptor Hawlucha Team,,bomuburi,,,,Hawluchanite,,,Staraptite,,,Chople Berry,,,Leftovers,,,Focus Sash,,,Light Clay,,https://pokepast.es/db633ee8920b42ac,Yes,Extracted,✔,RA0R52SJ2H,18 Jun 2026,-,,https://x.com/bomuburi/status/2067514055611601218?s=46,-,-,bomuburi,,Hawlucha-Mega,Staraptor-Mega,Incineroar,Snorlax,Sinistcha,Grimmsnarl,,MB44
MB43,grr301's Raichu-Y Staraptor Team,,grr301,,,,Staraptite,,,Raichunite Y,,,Sitrus Berry,,,Focus Sash,,,Light Clay,,,Life Orb,,https://pokepast.es/03e45771001c99e0,Yes,Extracted,✔,H06D8230TW,18 Jun 2026,-,,https://x.com/grr301/status/2067548565296079032?s=46,-,-,grr301,,Staraptor-Mega,Raichu,Sinistcha,Aegislash,Grimmsnarl,Garchomp,,MB43
MB42,KitWiller's Staraptor Metagross Team,,Daniel Pioppi,,,,Metagrossite,,,Staraptite,,,Focus Sash,,,Choice Scarf,,,Fairy Feather,,,Sitrus Berry,,https://pokepast.es/5541ab5c62dfcffe,Yes,Extracted,✔,M11Q00D55V,18 Jun 2026,-,,https://x.com/kitwillervgc/status/2067561722844422417?s=46,-,-,kitwillervgc,,Metagross-Mega,Staraptor-Mega,Blaziken,Basculegion,Whimsicott,Garchomp,,MB42
MB41,starfish0206's Swampert Floette Team,,starfish0206,,,,Floettite,,,Swampertite,,,Sitrus Berry,,,Colbur Berry,,,Light Clay,,,Leftovers,,https://pokepast.es/07bc6c66206f7c06,Yes,Extracted,✔,RCB7CYCV02,18 Jun 2026,-,,https://x.com/starfish0206/status/2067563233486197096?s=46,-,-,starfish0206,,Floette-Eternal-Mega,Swampert-Mega,Pelipper,Sinistcha,Grimmsnarl,Archaludon,,MB41
MB40,Ruuto's Raichu-Y Gholdengo Team,,Ruuto,,,,Leftovers,,,Raichunite Y,,,Focus Sash,,,Sitrus Berry,,,Fairy Feather,,,Life Orb,,https://pokepast.es/acefffba8754e31b,Yes,Extracted,✔,G3H4LXEBAF,18 Jun 2026,-,,https://x.com/tbhla7130/status/2067593996009078853?s=46,-,-,tbhla7130,,Gyarados,Raichu,Whimsicott,Gholdengo,Sylveon,Garchomp,,MB40
MB39,Q's Raichu-Y Staraptor Team,,Q,,,,Staraptite,,,Focus Sash,,,Raichunite Y,,,Kasib Berry,,,Leftovers,,,Light Clay,,https://pokepast.es/d1c83ee442a67e8c,Yes,Extracted,✔,RQ0P9631T4,18 Jun 2026,-,,https://x.com/q_vgc_poke0306/status/2067605092149371101?s=46,-,-,q_vgc_poke0306,,Staraptor-Mega,Pelipper,Raichu,Sinistcha,Gholdengo,Grimmsnarl,,MB39
MB38,homura_kurenai_'s Swampert Venusaur Team,,homura_kurenai_,,,,Swampertite,,,Venusaurite,,,Sitrus Berry,,,Roseli Berry,,,Kasib Berry,,,Leftovers,,https://pokepast.es/6566afa4788066ab,Yes,Extracted,✔,XM2Q479C79,18 Jun 2026,-,,https://x.com/homura_kurenai_/status/2067602693447922042?s=46,-,-,homura_kurenai_,,Swampert-Mega,Venusaur-Mega,Pelipper,Sableye,Sinistcha,Archaludon,,MB38
MB37,mumemo's Malamar Grimmsnarl Team,,mumemo,,,,Malamarite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Roseli Berry,,,Fairy Feather,,https://pokepast.es/31a1ce0b62719b67,Yes,Extracted,✔,W83BDNRED4,18 Jun 2026,-,,https://x.com/mumemo168/status/2067634748395311412?s=46,-,-,mumemo168,,Malamar-Mega,Basculegion,Sneasler,Sinistcha,Grimmsnarl,Sylveon,,MB37
MB36,Viera's Dragalge Eelektross Team,,Shoma Honami,,,,Dragalgite,,,Eelektrossite,,,Sitrus Berry,,,Coba Berry,,,Light Clay,,,Focus Sash,,https://pokepast.es/8972018ae6e0964d,Yes,Extracted,✔,1UH6QYA226,18 Jun 2026,-,,https://x.com/SHADEviera/status/2067587361912009029,-,-,SHADEviera,,Dragalge-Mega,Eelektross-Mega,Incineroar,Sinistcha,Grimmsnarl,Hydreigon,,MB36
MB35,zeen's Staraptor Grimmsnarl Team,,Shohei Kimura,,,,Staraptite,,,Choice Scarf,,,Sitrus Berry,,,Light Clay,,,Fairy Feather,,,Life Orb,,https://pokepast.es/9895f3ee4eb4a6ad,Yes,Extracted,✔,LYHCP78X4L,18 Jun 2026,-,,https://x.com/zeen172m/status/2067610388066402354?s=46,-,-,zeen172m,,Staraptor-Mega,Basculegion,Sinistcha,Grimmsnarl,Sylveon,Garchomp,,MB35
MB34,zeropoke_'s Raichu-Y Basculegion Team,,zeropoke_,,,,Life Orb,,,Raichunite Y,,,Black Glasses,,,Focus Sash,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/4018d6baeffb61a5,Yes,Extracted,✔,R8JBDA0SHQ,18 Jun 2026,-,,https://x.com/zeropoke_/status/2067483021515870314?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,zeropoke_,,Basculegion,Raichu,Kingambit,Ninetales-Alola,Sylveon,Garchomp,,MB34
MB33,mikevgc's Metagross Eelektross Team,,mikevgc,,,,Eelektrossite,,,Metagrossite,,,Mystic Water,,,Focus Sash,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/612b99bb8f039b79,Yes,Extracted,✔,N69JY1VBTX,18 Jun 2026,-,,https://x.com/mikevgc/status/2067482644464484732?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,mikevgc,,Eelektross-Mega,Metagross-Mega,Basculegion,Whimsicott,Kingambit,Garchomp,,MB33
MB32,juniorcosas' Blaziken Metagross Team,,juniorcosas,,,,Blazikenite,,,Metagrossite,,,Sitrus Berry,,,Leftovers,,,Wide Lens,,,Life Orb,,https://pokepast.es/3acca0e632461b06,Yes,Extracted,✔,GG0FD1W5UX,18 Jun 2026,-,,https://x.com/juniorcosas/status/2067363436749586874?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,juniorcosas,,Blaziken-Mega,Metagross-Mega,Rotom-Heat,Milotic,Tsareena,Kingambit,,MB32
MB31,rennyvgc's Mawile Rain Team,,rennyvgc,,,,Mawilite,,,Focus Sash,,,Life Orb,,,Lum Berry,,,Kasib Berry,,,Leftovers,,https://pokepast.es/094699b7bea2a995,Yes,Extracted,✔,RV6V177D3H,18 Jun 2026,-,,https://x.com/rennyvgc/status/2067181646747758927?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,rennyvgc,,Mawile-Mega,Pelipper,Annihilape,Scrafty,Sinistcha,Archaludon,,MB31
MB30,spits25's Eelektross Ninetales-Alola Team,,spits25,,,,Eelektrossite,,,Sitrus Berry,,,Sharp Beak,,,Focus Sash,,,Choice Scarf,,,Life Orb,,https://pokepast.es/489f86fbe5ddd046,Yes,Extracted,✔,3YRU950MRY,18 Jun 2026,-,,https://x.com/spits25/status/2067444882273435828?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,spits25,,Eelektross-Mega,Incineroar,Talonflame,Kingambit,Ninetales-Alola,Garchomp,,MB30
MB29,all_riel's Milotic Gyarados Team,,all_riel,,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Damp Rock,,,White Herb,,,Scope Lens,,https://pokepast.es/b5f440daee2fa103,Yes,Extracted,✔,XSNX818MAQ,18 Jun 2026,-,,https://x.com/all_riel/status/2067343557149524323?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,all_riel,,Azumarill,Gyarados,Milotic,Politoed,Dragonite,Garchomp,,MB29
MB28,danyul_yt's Swampert Venusaur Team,,danyul_yt,,,,Swampertite,,,Venusaurite,,,Sitrus Berry,,,Light Clay,,,Fairy Feather,,,Leftovers,,https://pokepast.es/edf426dd7b9685ce,Yes,Extracted,✔,7J6XYD9JYY,18 Jun 2026,-,,https://x.com/danyul_yt/status/2067394034184634440?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,danyul_yt,,Swampert-Mega,Venusaur-Mega,Pelipper,Sableye,Sylveon,Archaludon,,MB28
MB27,_miahlim_'s Swampert Floette Team,,_miahlim_,,,,Floettite,,,Swampertite,,,Choice Scarf,,,Sitrus Berry,,,Kasib Berry,,,Leftovers,,https://pokepast.es/2978fd0cf19ad035,Yes,Extracted,✔,HPKL0P8AEY,18 Jun 2026,-,,https://x.com/_miahlim_/status/2067427744858976579?s=12,-,-,_miahlim_,,Floette-Eternal-Mega,Swampert-Mega,Basculegion,Pelipper,Sinistcha,Archaludon,,MB27
MB26,DjSanders' Mawile Eelektross Team,,DjSanders,,,,Eelektrossite,,,Mawilite,,,Focus Sash,,,Sitrus Berry,,,Light Clay,,,Leftovers,,https://pokepast.es/f3098350696cf67a,Yes,Extracted,✔,467X3MXUXL,18 Jun 2026,-,,Discord Submission,-,-,DjSanders,,Eelektross-Mega,Mawile-Mega,Pelipper,Sinistcha,Grimmsnarl,Archaludon,,MB26
MB25,DjSanders' Mawile Swampert Team,,DjSanders,,,,Mawilite,,,Swampertite,,,Focus Sash,,,Poison Barb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/afe1c8adf111cb00,Yes,Extracted,✔,ABN0GDQ0DD,18 Jun 2026,-,,Discord Submission,-,-,DjSanders,,Mawile-Mega,Swampert-Mega,Pelipper,Overqwil,Sinistcha,Archaludon,,MB25
MB24,DjSanders' Pyroar Blastoise Team,,DjSanders,,,,Blastoisinite,,,Pyroarite,,,Charcoal,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/06fc71b671e3749b,Yes,Extracted,✔,1Q23EYBNN3,18 Jun 2026,-,,Discord Submission,-,-,DjSanders,,Blastoise-Mega,Pyroar-Mega,Torkoal,Annihilape,Whimsicott,Farigiraf,,MB24
MB23,DjSanders' Metagross Floette Team,,DjSanders,,,,Floettite,,,Metagrossite,,,Focus Sash,,,Leftovers,,,Kasib Berry,,,Sitrus Berry,,https://pokepast.es/6f623a3ed4a96420,Yes,Extracted,✔,C17T8575UU,18 Jun 2026,-,,Discord Submission,-,-,DjSanders,,Floette-Eternal-Mega,Metagross-Mega,Blaziken,Incineroar,Sinistcha,Orthworm,,MB23
MB22,DjSanders' Swampert Dragonite Team,,DjSanders,,,,Dragoninite,,,Swampertite,,,Focus Sash,,,Life Orb,,,Light Clay,,,Leftovers,,https://pokepast.es/9e5918deb7c840e2,Yes,Extracted,✔,50QAWKBVRX,18 Jun 2026,-,,Discord Submission,-,-,DjSanders,,Dragonite-Mega,Swampert-Mega,Pelipper,Overqwil,Grimmsnarl,Archaludon,,MB22
MB21,avalos_vgc's Staraptor Charizard-X Team,,avalos_vgc,,,,Staraptite,,,Charizardite X,,,Charcoal,,,Kasib Berry,,,Focus Sash,,,Iron Ball,,https://pokepast.es/9a74299ea2d0fd17,Yes,Extracted,✔,81S3QP20N4,18 Jun 2026,-,,https://x.com/avalos_vgc/status/2067397862284026109?s=46,-,-,avalos_vgc,,Staraptor-Mega,Charizard,Incineroar,Sinistcha,Kingambit,Grimmsnarl,,MB21
MB20,Riopaser's Staraptor Charizard-Y Team,,Eric Ríos,,,,Staraptite,,,Charizardite Y,,,Focus Sash,,,Choice Scarf,,,Fairy Feather,,,Life Orb,,https://pokepast.es/8d0847564965e84b,Yes,Extracted,✔,JRDLKRSFLV,18 Jun 2026,-,,https://x.com/riopaser/status/2067364647049539632?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,riopaser,,Staraptor-Mega,Charizard,Raichu,Gholdengo,Sylveon,Garchomp,,MB20
MB19,dyeittight's Eelektross Grimmsnarl Team,,dyeittight,,,,Eelektrossite,,,Focus Sash,,,White Herb,,,Life Orb,,,Black Glasses,,,Light Clay,,https://pokepast.es/aa88e00c2145ca46,Yes,Extracted,✔,CNL0TGDGT1,18 Jun 2026,-,,https://x.com/dyeittight/status/2067347863747625470?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,dyeittight,,Eelektross-Mega,Aerodactyl,Sneasler,Gholdengo,Kingambit,Grimmsnarl,,MB19
MB18,Emir's Sceptile Floette Team,,Emir Abdulovski,,,,Floettite,,,Sceptilite,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Life Orb,,https://pokepast.es/c5d0fbf21d41ef07,Yes,Extracted,✔,FNKRKBMP98,18 Jun 2026,-,,https://x.com/emirnent/status/2067310728315343275?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,emirnent,,Floette-Eternal-Mega,Sceptile-Mega,Rotom-Heat,Basculegion,Aerodactyl,Garchomp,,MB18
MB17,jortchamp's Pyroar Mimikyu Team,,jortchamp,,,,Dragoninite,,,Pyroarite,,,Charcoal,,,Focus Sash,,,Black Glasses,,,Life Orb,,https://pokepast.es/f1febbff465b893b,Yes,Extracted,✔,QC5A0L6VC1,18 Jun 2026,-,,https://x.com/jortchamp/status/2067351983170691181?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jortchamp,,Dragonite-Mega,Pyroar-Mega,Torkoal,Sneasler,Kingambit,Mimikyu,,MB17
MB16,Yunittoyuni's Scrafty Kangaskhan Team,,Yuma Suzuki,,,,Kangaskhanite,,,Scraftinite,,,Life Orb,,,Focus Sash,,,Sitrus Berry,,,Fairy Feather,,https://pokepast.es/2e90fb22f88aa3a1,Yes,Extracted,✔,2SFRD36A9U,18 Jun 2026,-,,https://x.com/yunittoyuni/status/2067247435777540333?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,yunittoyuni,,Kangaskhan-Mega,Scrafty-Mega,Torkoal,Basculegion,Farigiraf,Sylveon,,MB16
MB15,Sole Survivor's Raichu-X Metagross Team,,Sole Survivor,,,,Metagrossite,,,Passho Berry,,,Choice Scarf,,,Focus Sash,,,Light Clay,,,Leftovers,,https://pokepast.es/38f1bb02244ae086,Yes,Extracted,✔,WL4L7QDKNU,18 Jun 2026,-,,https://x.com/solesurvivorvgc/status/2067250632847729130?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,solesurvivorvgc,,Metagross-Mega,Incineroar,Basculegion,Pelipper,Klefki,Archaludon,,MB15
MB14,homura_kurenai_'s Staraptor Floette Team,,homura_kurenai_,,,,Floettite,,,Staraptite,,,Passho Berry,,,Focus Sash,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/2cad2186a0a4f76a,Yes,Extracted,✔,V0ER6HM3TT,18 Jun 2026,-,,https://x.com/homura_kurenai_/status/2067238732932288641?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,homura_kurenai_,,Floette-Eternal-Mega,Staraptor-Mega,Incineroar,Excadrill,Tyranitar,Sinistcha,,MB14
MB13,Kaguya's Mawile Swampert Team,,Blake Falls,,,,Mawilite,,,Swampertite,,,Passho Berry,,,White Herb,,,Roseli Berry,,,Colbur Berry,,https://pokepast.es/cf711e052f60289c,Yes,Extracted,✔,9EAKRL4S31,18 Jun 2026,-,,https://x.com/kaguyafalls/status/2067305246620082224?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,kaguyafalls,,Mawile-Mega,Swampert-Mega,Incineroar,Sneasler,Sableye,Farigiraf,,MB13
